"F","Company Name","Seniority Level","Company Location","Industry","Employment Type","Job Functions","position"
"Fortinet Specialist","Guidewire Software","Mid-Senior level","Krakow Metropolitan Area","Computer Software Internet Information Technology & Services","Full-time","Product Management Engineering","Software Engineer",
"Fortinet Specialist","Inzynierowie.com Sp. z o.o.","Mid-Senior level","Tarnów, Małopolskie, Poland","Design Automotive Mechanical Or Industrial Engineering","Full-time","Design Manufacturing Engineering","Inżynier ds. konstrukcji mechanicznych",
"Fortinet Specialist","Inzynierowie.com Sp. z o.o.","Mid-Senior level","Tarnów, Małopolskie, Poland","Design Automotive Mechanical Or Industrial Engineering","Full-time","Design Manufacturing Engineering","Inżynier ds. konstrukcji mechanicznych",
"Fortinet Specialist","PEKAES Group","Entry level","Kokotów, PL","Electrical & Electronic Manufacturing Apparel & Fashion Retail","Full-time","Management Manufacturing","Spedytor/Starszy Spedytor FTL",
"Fortinet Specialist","PEKAES Group","Entry level","Kokotów, PL","Electrical & Electronic Manufacturing Apparel & Fashion Retail","Full-time","Management Manufacturing","Spedytor/Starszy Spedytor FTL",
"Fortinet Specialist","TECH STEROWNIKI","Entry level","Wieprz, PL","Consumer Electronics","Full-time","Management Manufacturing","Elektromonter systemów sterowania ogrzewaniem",
"Fortinet Specialist","The Slomka Law Firm, P.C.","Entry level","Kokotów, PL","Legal Services","Full-time","Sales Business Development","Magazynier/Operator wózka widłowego",
"Fortinet Specialist","The Slomka Law Firm, P.C.","Entry level","Kokotów, PL","Legal Services","Full-time","Sales Business Development","Magazynier/Operator wózka widłowego",
"Fortinet Specialist","Sobol Co.","Entry level","Kalwaria Zebrzydowska, PL","Business Supplies & Equipment","Full-time","Management Manufacturing","Stolarz/Monter mebli",
"Fortinet Specialist","MarMed","Entry level","Tarnów, PL","Consumer Services Government Administration Hospital & Health Care","Full-time","Other","PROTETYK SŁUCHU - woj. małopolskie - TARNÓW",
"Fortinet Specialist","Eurovia","Associate","Polanka, PL","Information Technology & Services Staffing & Recruiting Human Resources","Full-time","Accounting/Auditing Finance","Księgowy/Księgowa",
"Fortinet Specialist","RSV S.r.l.","Entry level","Wadowice, PL","Internet","Full-time","Management Manufacturing","Kierowca kat B",
"Fortinet Specialist","RSV S.r.l.","Entry level","Wadowice, PL","Internet","Full-time","Management Manufacturing","Kierowca kat B",
"Fortinet Specialist","FCA Sp. z o.o.","Entry level","Niepołomice, PL","Telecommunications","Full-time","Information Technology","Administrator Sieci Dostępowej",
"Fortinet Specialist","CU PARTNER","Entry level","Zielonki, PL","Telecommunications","Full-time","Other","ROZDAWANIE ULOTEK W WĘGRZCACH",
"Fortinet Specialist","The Adecco Group","Mid-Senior level","Krakow Metropolitan Area","Human Resources Consumer Goods","Full-time","Management Other","Regionalny Koordynator Zespołu Retail",
"Fortinet Specialist","Mostostal Kraków S.A.","Entry level","Wieliczka, PL","Construction","Full-time","Management Manufacturing","MONTER KONSTRUKCJI STALOWYCH",
"Fortinet Specialist","majster","Mid-Senior level","Miechów, PL","Construction","Full-time","Other","Kierownik marketu",
"Fortinet Specialist","Medius","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Computer Software","Full-time","Information Technology Sales","Scrum Master",
"Fortinet Specialist","Discovery Inc","Mid-Senior level","Krakowski, Małopolskie, Poland","Entertainment","Full-time","Information Technology","Platform Administrator",
"Fortinet Specialist","Gastro Serwis","Mid-Senior level","Bochnia, PL","Machinery","Full-time","Other","Przyjme do pracy Przedstawiciela Handlowego - Technologa",
"Fortinet Specialist","Gastro Serwis","Mid-Senior level","Bochnia, PL","Machinery","Full-time","Other","Przyjme do pracy Przedstawiciela Handlowego - Technologa",
"Fortinet Specialist","USBOX sp. z o.o. sp. k.","Entry level","Zielonki, PL","Import & Export","Full-time","Management Manufacturing","Pomoc domowa",
"Fortinet Specialist","USBOX sp. z o.o. sp. k.","Entry level","Zielonki, PL","Import & Export","Full-time","Management Manufacturing","Pomoc domowa",
