Role,Tags,Additional,Salary,Locations
Big Data Product Manager,"[' SQL', ' ETL', ' Big Data', ' Data-modeling', ' Data warehouse', ' Data integration', ' English', ' Team player', ' Problem solving', ' Proactivity', ' Machine learning', ' PRD', ' Scrum Product Owner', ' Analytical databases']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 10000 - 15000 PLN ," Bydgoszcz, Szczecin, Warszawa "
Java Developer,"[' Java', ' Spring', ' Hibernate', ' Git', ' Maven', ' JPA', ' SQL', ' TDD', ' English', ' Team player', ' Clean code', ' Jenkins', ' Docker', ' AWS', ' Angular', ' TypeScript', ' DDD', ' Scrum', ' Gerrit', ' JIRA', ' Communication skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 14000 - 25000 PLN , Warsaw 
Senior Test Automation Engineer,"[' Java', ' Git', ' REST', ' Jenkins', ' JUnit', ' Soap', ' sql', ' postman', ' soapui', ' selenium', ' jmeter', ' gatling', ' docker', ' svn', ' jira', ' mockito', ' windows', ' unix', ' cucumber', ' kubernetes', ' gitlab', ' groovy']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 15000 - 18500 PLN , Kraków 
Senior Python Developer,"[' Python', ' Django', ' Linux', ' Celery', ' Django REST', ' SQL', ' English', ' Polish', ' Communication skills', ' Leadership skills', ' Problem solving', ' Git', ' Docker', ' Big Data', ' JIRA', ' code review', ' Agile']","{' Job profile ': ' custom ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 12000 - 18000 PLN , Białystok 
React Developer,"[' React', ' Redux', ' Git', ' GraphQL', ' English', ' Angular', ' TypeScript', ' AWS', ' NodeJS', ' ReactNative', ' Team player', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 50 - 95 PLN , Warsaw 
Remote QA Automation Specialist,"[' JavaScript', ' Git', ' TypeScript', ' Jest', ' Jasmine', ' Karma', ' Cypress', ' PACT', ' Jira', ' Jenkins', ' Confluence', ' experience with databases', ' English', ' Team player', ' Communication skills']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 80 - 100 PLN , Poznań 
Software Developer,"[' Java', ' Git', ' REST', ' English', ' Team player', ' Communication skills', ' Docker', ' AWS', ' Jira', ' Contract tests', ' Microservices', ' Graph databases', ' MongoDB', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 8000 - 14000 PLN , Wrocław 
PHP Developer,"[' PHP', ' MySQL', ' English', ' Git', ' REST', ' Docker', ' Yii Framework', ' bootstrap', ' linux', ' Polish', ' Critical thinking', ' Problem solving']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 6000 - 12000 PLN , Wrocław 
Scala Engineer,"[' Scala', ' NoSQL', ' server-side development', ' SQL', ' Swagger', ' RESTful API', ' Spark', ' Docker', ' an interest in IoT', ' aws', ' jenkins', ' Flink', ' experience with Agile SW development']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 14000 - 18000 PLN , Katowice 
Fullstack Java Developer,"[' Java', ' JPA', ' JavaScript', ' Soap', ' SWING', ' Communication skills', ' Spring', ' Hibernate', ' Git', ' Maven', ' Bazy danych Oracle', ' PostgreSQL', ' SVN', ' JBoss', ' AngularJS', ' Spring Boot', ' JAX-RS', ' JavaWebStart', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 20000 PLN , Warsaw 
Junior Frontend Developer,"[' JavaScript', ' CSS', ' HTML', ' TypeScript', ' Git', ' RxJS', ' jQuery', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' 20 % ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 7000 - 8000 PLN , Warsaw 
Mid/Senior Angular Developer,"[' Angular', ' JavaScript', ' CSS', ' HTML', ' TypeScript', ' Git', ' Sass', ' REST', ' Team player', ' Communication skills', ' Problem solving', ' Critical thinking', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 16000 - 23500 PLN ," Warszawa, Warszawa "
Senior Frontend Leader (React),"[' React', ' JavaScript', ' Redux', ' Sass', ' HTML5', ' CSS3', ' oop', ' mvc', ' tdd', ' clean code', ' CI/CD', ' English', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' good understanding of agile development']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 16000 - 26000 PLN , Kraków 
Machine Learning Researcher,"[' Python', ' Statistic, Probability', ' Good Coding Skills', ' Java', ' Troch', ' PyTorch', ' NumPy', ' Pandas', ' Scala', ' Jupyter Notebooks', ' machine learning', ' Tensorflow', ' Polish', ' Deep Learning']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' 80 % ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 21000 - 31500 PLN ," Warsaw, Kraków  "
Senior Wordpress Developer (Remote),"[' JavaScript', ' HTML', ' CSS', ' Git', ' PHP', ' WordPress', ' WooCommerce', ' REST API', ' English', ' Polish', ' Communication skills', ' Problem solving', ' Proactivity', ' Docker', ' AWS']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No ', ' Płaska struktura ': None, ' Praca projektowa ': None}", 7800 - 12000 PLN , Łódź 
Mid / Senior Java Developer,"[' Java', ' Spring', ' Hibernate', ' Git', ' JPA', ' SQL', ' English', ' Maven', ' JUnit', ' Docker', ' Oracle DB', ' Microsoft SQL']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 11000 - 17000 PLN , Gdynia 
Mid Database Administrator (MS SQL),"[' T-SQL', ' Powershell', ' MS SQL Server', ' English', ' Communication skills', ' Problem solving', ' AWS', ' Application support', ' ITIL certification']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 100 - 112 PLN , Kraków 
PHP Developer,"[' PHP', ' Git', ' SQL', ' Yii / MVC PHP', ' CLI applications', ' Linux', ' HTML5', ' JS', ' CSS3', ' English', ' Polish', ' Team player', ' Communication skills', ' Teamwork', ' NginX configuration', ' PostgreSQL', ' Kanban / Scrum', ' Machine learning', ' Data processing', ' Analitical skills', ' Process approach', ' Independency', ' Elasticsearch', ' Python', ' Problem solving', ' Proactivity', ' German', ' Attention to detail', ' Communication', ' Flexibility']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 8000 - 14000 PLN , Poznań 
Senior Android Developer,"[' Java', ' Kotlin', ' Git', ' android', ' English', ' Team player', ' Communication skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 16000 - 20000 PLN , Warsaw 
Trainee Data Science Engineer,"[' SQL', ' Python', ' Machine learning', ' Statistics', ' English', ' Polish', ' Proactivity', ' ETL', ' PostgreSQL', ' R']","{' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (3 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 2600 - 3500 PLN , Warszawa 
Mid/Sr Java Developer,"[' Java', ' SQL', ' NoSQL', ' English', ' Communication skills', ' REST', ' Java SE', ' GitLab', ' testing']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15000 - 30000 PLN , Warszawa 
.NET Developer,"[' .NET', ' MVC', ' SQL Server', ' tdd', ' rabbitmq', ' git', ' nosql']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 10000 - 14000 PLN ," Choroszcz, Białystok "
Java Developer ( Warszawa),"[' Java', ' Spring', ' *aaS', ' microservices', ' automation', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Docker', ' AWS/Azure/GC/PCF', ' logging', ' monitoring', ' serverless', ' terraform', ' python', ' nodeJS', ' Polish']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes ', ' Relocation package ': None}", 11000 - 19000 PLN , Warszawa 
Mid Test Automation Engineer,"[' Selenium', ' Java', ' Jenkins', ' SoapUI', ' Windows', ' XML', ' test automation', ' cucumber', ' English', ' agile', ' SQL', ' JIRA', ' git']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 10000 - 13000 PLN ," Krakow, Rzeszów "
Test Engineer,"[' C ', ' English', ' Problem solving']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}", 5000 - 7000 PLN , Kraków 
Application Support Engineer,"[' Microsoft', ' Data Analysis', ' English', ' Communication skills', ' analytical skills', ' SQL', ' Python', ' Unix', ' API', ' FIX API', ' jira', ' MS Dynamics', ' Salesforce', ' Zendesk']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 8000 - 12000 PLN , Kraków 
.NET Engineer,"[' .NET', ' SQL Server', ' C#', ' WCF', ' WPF', ' Silverlight', ' MVVN']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 14000 - 20000 PLN , Wrocław 
Scala Developer,"[' Scala', ' Akka', ' Docker', ' Git', ' REST', ' Linux', ' Sbt', ' relational databases', ' English', ' Polish', ' Team player', ' Communication skills', ' Java', ' Kafka', ' involvement in the community', ' contribution to open source projects', ' writing a blog']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 10080 - 18312 PLN , Warsaw 
Junior QA Engineer,"[' Java', ' Test automation', ' Functional testing', ' Integration testing', ' End-to-end testing', ' Test theory', ' Communication skills', ' Critical thinking', ' Problem solving', ' Agile/Scrum', ' Selenium', ' SQL', ' cucumber', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 6000 - 9000 PLN , Warsaw 
MS SQL Developer,"[' Oracle DB', ' MS SQL', ' sql', ' Bamboo', ' GIT', ' Containers', ' Docker', ' English', ' Polish', ' Python', ' Java', ' Apache Kafka']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (1 year) ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 110 - 130 PLN , Gdańsk 
MS SQL Developer,"[' SQL', ' ms sql', ' docker', ' Containers', ' bamboo', ' git', ' oracle', ' java', ' kafka']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15960 - 21600 PLN , Gdańsk 
Python Developer,"[' Python', ' Django', ' Linux', ' Git', ' REST', ' Flask', ' Unit tests', ' Relational and NoSQL databases', ' CI/CD', ' OOP and design patterns', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' Docker', ' Redis', ' AWS', ' Leadership skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 8000 - 16000 PLN , Warsaw 
Remote DevOps Engineer,"[' Linux', ' AWS', ' Ansible', ' Terraform', ' Kubernetes', ' Helm', ' Packer', ' English', ' microservices', ' Immutable Infrastructure', ' CI/CD', ' GITLab CI', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 10000 - 18000 PLN , Katowice 
FullStack Software Engineer (Java),"[' Java', ' REST', ' Java EE', ' web services', ' SQL DB', ' no-SQL DB', ' Linux/ Unix', ' frontend programming', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' JavaScript', ' Angular', ' HTML', ' CSS', ' TypeScript', ' jQuery', ' microservices', ' reactive programming APIs and libraries', ' Polish', ' agile']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 11000 - 13000 PLN , Kraków 
Business Consultant,"[' Excel', ' Business analysis', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Ability to travel when needed', ' SQL', ' BPMN', ' JIRA', ' Enterprise architect', ' Financial business domain', ' Insurance business', ' Processes analysis', ' Consulting workshop']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 8000 - 16000 PLN ," Warszawa, Poznań, Lublin "
Frontend Developers for game development,"[' JavaScript', ' TypeScript', ' HTML5', ' WebGL', ' Canvas', ' Experience in developing mobile-centric web apps', ' English', ' Communication skills', ' Pixi.js', ' Phaser', ' Experience in game development']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-05-04 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}",,
Remote Expert Fullstack Developer,"[' PHP', ' MySQL', ' Git', ' REST', ' Wordpress', ' reside in eastern Europe', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Leadership skills', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No ', ' Work Remotely ': None}",,
Full Stack Engineer,"[' JavaScript', ' Java', ' SQL', ' Git', ' REST', ' REST APIs', ' Relational and NoSQL databases', ' Java Spring Boot or Python Django', ' SPA Framework like Angular, Vue, React', ' English', ' Communication skills', ' Critical thinking', ' Problem solving', ' Angular', ' HTML', ' CSS', ' Docker', ' Python', ' AWS', ' TypeScript', ' Linux', ' PostgreSQL', ' NoSQL', ' DC/OS', ' Django', ' Spring Boot', ' MySQL', ' NodeJS', ' Performance Tuning', ' 12 Factor Apps', ' Vue']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 15000 - 20000 PLN ," Warszawa, Lublin, Białystok, Toruń, Bydgoszcz, Ostrołęka, Radom, Łódź "
Frontend Developer with React Native,"[' React', ' JavaScript', ' React Native', ' Native App Development', ' Swift OR Objective-C', ' Scrum experience', ' English', ' Team player', ' Communication skills', ' OpenShift', ' Banking experience']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-05-04 ', ' Contract duration ': ' Temporary contract (6 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 22400 - 26400 PLN , Warszawa 
Toolchain Software Developer (Java),"[' Java', ' Git', ' Maven', ' OOP', ' jira', ' Bamboo', ' BitBucket', ' Embedded', ' Eclipse', ' English', ' Agile', ' python', ' C/C++', ' Cryptography']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 10000 - 18000 PLN , Wrocław 
DevOps,"[' Docker', ' AWS', ' Jenkins', ' MySQL', ' Bash', ' Powershell', ' Kubernetes', ' English', ' Polish', ' RHEL', ' Ubuntu']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 10000 - 16000 PLN , Kraków 
Python Engineer,"[' Python', ' Django', ' PostgreSQL', ' Git', ' Docker', ' Flask', ' Celery', ' Kubernetes', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 12000 - 18000 PLN , Warszawa 
Business Analyst,"[' SQL', ' Business analysis', ' English', ' Polish', ' Communication skills', ' HP Quality Centre application', ' CA Clarity PPM application']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 550 - 650 PLN , Warsaw 
"Java Developer - Medior, Senior","[' Java', ' Spring', ' Git', ' REST', ' JUnit', ' SQL', ' English', ' Team player', ' Problem solving', ' Proactivity', ' Docker', ' php', ' Communication skills', ' Critical thinking']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 520k - 680k HUF , Pécs 
Software Test Automation Engineer,"[' Java', ' SQL', ' TestNG', ' Selenium WebDriver']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 11000 - 14000 PLN , Kraków 
Hadoop Developer,"[' Java', ' Git', ' Maven', ' SQL', ' NoSQL', ' scala', ' kafka', ' hadoop', ' impala', ' spark', ' Splunk', ' Hive', ' jira', ' web servers', ' English', ' Polish']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 20160 - 25200 PLN , Warszawa 
Junior Software Engineer,"[' Java', ' English', ' Team player', ' Problem solving', ' Spring', ' Git', ' REST', ' Java EE', ' JavaScript', ' Angular', ' React', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' 60 % ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 425k - 520k HUF , Budapest 
Fullstack JavaScript/Express + C + React,"[' JavaScript', ' Git', ' TypeScript', ' REST', ' jQuery', ' Express.js', ' React', ' Node', ' HTML', ' CSS', ' Java', ' MySQL', ' SQL', ' Redux', ' Websockets', ' C', ' Express', ' English', ' Polish', ' Communication skills', ' AWS', ' NodeJs', ' SCSS']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - Yes  +2 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 12000 - 18000 PLN , Krakow 
Frontend Team Lead,"[' JavaScript', ' Angular', ' React', ' CSS', ' HTML', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' Yes '}", 15000 - 19000 PLN , Warszawa 
