"Employment Type","Job Functions","Industry","Company Location","position","Company Name","Seniority Level"
"Full-time","Accounting/Auditing Finance","Information Technology & Services Computer Software Financial Services","Łódź, PL","Administrator ds. księgowości z językiem holenderskim (m/k)","Cpl","Entry level",
"Full-time","Customer Service","Human Resources","Łódź, PL","Process Executives (Bilingual) at David Kennedy Recruitment","join.com","Entry level",
"Full-time","Customer Service","Human Resources","Łódź, PL","Process Executives (Bilingual) at David Kennedy Recruitment","join.com","Entry level",
"Full-time","Engineering Information Technology","Automotive Staffing & Recruiting Retail","Łódź, PL","Mécanicien Auto - Chartres Luce (28) H/F","Feu Vert","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Frontend Developer","Cybercom Group","Entry level",
"Full-time","Engineering Information Technology","Information Technology & Services Computer Software Staffing & Recruiting","Łódź, PL","Frontend Developer","Cybercom Group","Entry level",
"Full-time","Other","Security & Investigations","Parzęczew, PL","Specjalista","JEDNOSTKA WOJSKOWA NR 1749","Associate",
"Full-time","Production Manufacturing Engineering","Pharmaceuticals","Stryków, PL","Specjalista ds. Kontroli Jakości/Laboratorium Analityczne","Novartis","Associate",
"Full-time","Information Technology","Marketing & Advertising","Łódź, Łódzkie, Poland","System Administrator / DevOps Engineer","UNIT9","Mid-Senior level",
"Full-time","Management Distribution Supply Chain","Computer Software Information Technology & Services Internet","Pabianice, PL","EHS Intern","Amazon","Mid-Senior level",
"Full-time","Sales Business Development","Information Technology & Services Computer Software Internet","Aleksandrów Łódzki, PL","Sales & Development Ambassador","EENGINE Sp. z o.o.","Entry level",
"Full-time","Other","Logistics & Supply Chain","Łódź, PL","Pracownik na stanowisko ds. Usług Wydruku i Konfekcjonowania","Poczta Polska S. A.","Entry level",
