job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Full-time,"Mid-Level, Senior",Database Administrator,"Banking, Finance, Financial Technology",1k–5k people,None,None,None,"FrankfurtamMain,Deutschland","['sql', 'etl', 'database', 'data-warehouse', 'business-intelligence']"
Full-time,"Mid-Level, Senior",Backend Developer,Software Development / Engineering,501–1k people,Private,€70k - 90k (Euros),None,"München,Deutschland","['java', 'spring-boot', 'amazon-web-services', 'microservices', 'docker']"
Full-time,None,"Frontend Developer, Mobile Developer",None,None,None,None,None,"Noida,India","['jquery', 'javascript', 'android']"
Full-time,"Mid-Level, Senior","Database Administrator, System Administrator","Information Technology, Software Development, Telecommunications",51–200 people,Private,€60k - 85k (Euros),None,"Hannover,Deutschland","['mysql', 'linux', 'galera', 'nosql', 'database-administration', 'sysadmin']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['android', 'java', 'mobile']"
Full-time,None,DevOps,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Boston,MA","['amazon-web-services', 'cloud', 'python']"
Full-time,"Mid-Level, Senior",Mobile Developer,"eCommerce, Internet Classifieds, Marketplace",51–200 people,Private,None,None,"Stuttgart,Deutschland","['android', 'mobile', 'google-app-engine', 'android-studio']"
Full-time,Senior,Full Stack Developer,"Communications, Digital Health, Healthcare",11–50 people,Private,£50k - 65k (British Pounds),None,"Oxford,UK","['python', 'postgresql', 'django', 'angular', 'ionic-framework']"
Full-time,"Junior, Mid-Level",Mobile Developer,"Mobile, Web Design, Web Development",11–50 people,Private,$40k - 60k (US Dollars),On-siteandlimitedremote,"NewYork,NY",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['android', 'java', 'mobile']"
Full-time,Mid-Level,Backend Developer,"Cybersecurity, Online Education, Web Technology",51–200 people,Private,£30k - 45k (British Pounds),None,"Bristol,UK","['ruby', 'ruby-on-rails', 'rspec', 'reactjs', 'amazon-web-services']"
Full-time,"Lead, Manager",DevOps,"Cloud Computing, Data & Analytics, Security",51–200 people,Private,None,None,"Richmond,VA","['cloud', 'amazon-web-services', 'devops']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['android', '.net', 'c#']"
Full-time,None,Mobile Developer,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['continuous-integration', 'c++', 'c']"
Full-time,"Mid-Level, Senior","DevOps, System Administrator","DevOps, Information Technology, IT Consulting",11–50 people,Private,€50k - 80k (Euros),None,"Cologne,Germany","['amazon-web-services', 'linux', 'cloud', 'docker', 'kubernetes', 'sysadmin']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Hyderabad,India","['java', 'spring', 'spring-mvc']"
Full-time,Mid-Level,Backend Developer,None,None,None,None,On-siteandlimitedremote,"Duluth,GA",[]
Full-time,None,Frontend Developer,None,None,None,None,None,"ShinagawaCity,Japan","['ruby-on-rails', 'ruby', 'coffeescript']"
Full-time,None,"Full Stack Developer, Mobile Developer",None,None,None,None,None,"Bengaluru,India","['reactjs', 'javascript', 'android']"
Full-time,"Senior, Lead, Manager",Frontend Developer,"Mobile, SaaS, Security",11–50 people,Private,None,None,"PaloAlto,CA","['reactjs', 'javascript', 'ecmascript-6', 'redux-saga', 'redux']"
Full-time,Senior,Backend Developer,"Financial Services, One stop shop for Payments, Payment Gateway",201–500 people,Private,None,None,"Sofia,Bulgaria","['ruby-on-rails', 'ruby', 'reactjs']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['php', 'laravel', 'mysql']"
Full-time,None,Database Administrator,None,None,None,None,None,"Fukuoka,Japan","['java', 'php', 'oracle']"
Full-time,"Senior, Lead",Backend Developer,"Consumer Electronics, eCommerce, Marketplace",51–200 people,VC Funded,€42k - 70k (Euros),Remote,"Wien,Österreich",[]
Full-time,Junior,Backend Developer,"Agile Software Development, Artificial Intelligence, Software Development / Engineering",51–200 people,Private,None,On-siteandlimitedremote,"Heidelberg,Deutschland",[]
Full-time,"Mid-Level, Senior","Designer, Frontend Developer","eCommerce, Retail",501–1k people,Public,None,None,"München,Germany","['reactjs', 'javascript', 'user-experience', 'html', 'amazon-web-services']"
Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['php', 'javascript', 'ios']"
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,Software Development,11–50 people,Private,None,None,"Göteborg,Sweden","['reactjs', 'vue.js', 'svelte', 'node.js', 'docker']"
Full-time,None,Product Manager,"Agile Software Development, Content Marketing, Web Technology",1k–5k people,Public,None,None,"Newark,NJ","['amazon-web-services', 'project-management']"
Full-time,Mid-Level,Mobile Developer,None,None,None,None,None,"NewYork,NY","['c#', '.net', 'xamarin', 'xamarin.forms', 'java']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Noida,India","['reactjs', 'javascript', 'ios']"
Full-time,None,DevOps,None,None,None,None,None,"MinatoCity,Japan","['amazon-web-services', 'automation']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ShinjukuCity,Japan","['scala', 'swift', 'go']"
Full-time,None,Frontend Developer,None,None,None,None,None,"MinatoCity,Japan","['go', 'javascript', 'reactjs']"
Full-time,"Junior, Mid-Level",Data Scientist,"Agile Software Development, Digital Health, Healthcare",11–50 people,VC Funded,None,None,"Beaconsfield,UK","['sql', 'powerbi']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'objective-c', 'mobile']"
Full-time,None,Mobile Developer,None,None,None,None,None,"SetagayaCity,Japan","['android', 'java', 'mobile']"
Full-time,None,DevOps,"Computer Software, Data & Analytics",1k–5k people,Private,None,None,"Seattle,WA","['go', 'devops', 'terraform']"
Full-time,"Senior, Lead, Manager",Mobile Developer,"Computer Software, Desktop Applications, Software Development / Engineering",11–50 people,Private,$50k - 75k (US Dollars),On-siteandlimitedremote,"ShenzhenShi,China",[]
Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Healthcare, Investment Banking, Oil & Gas",1k–5k people,Private,₹500k - 1800k (Indian Rupees),None,"Bengaluru,India","['asp.net', 'angular', 'c#', 'multithreading', 'asp.net-mvc']"
Full-time,Senior,Backend Developer,"Logistics and Supply Chain, Marketplace, Software Development / Engineering",201–500 people,VC Funded,$140k - 180k (US Dollars),None,"NewYork,NY","['ruby-on-rails', 'python', 'postgresql', 'amazon-web-services']"
Full-time,"Junior, Mid-Level, Senior",Embedded Developer,"Automotive, Industrial Automation, Internet of Things",51–200 people,Private,€30k - 45k (Euros),None,"Turin,Italy","['embedded', 'c++', 'c', 'freertos', 'yocto']"
Full-time,None,"Full Stack Developer, Product Manager",None,None,None,None,None,"Bengaluru,India","['reactjs', 'javascript', 'project-management']"
Full-time,"Senior, Lead","Graphics/Game Developer, Mobile Developer","Augmented Reality, Computer Vision, Entertainment",11–50 people,VC Funded,None,None,"ShibuyaCity,Japan","['oop', 'java', 'c#', 'unity3d', 'augmented-reality']"
Full-time,Mid-Level,DevOps,"Financial Services, Financial Technology, Mobile Payments",501–1k people,Private,None,None,"Edinburgh,UK","['cloud', 'kubernetes', 'jenkins']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,None,None,None,€50k - 80k (Euros),None,"Tübingen,Germany","['javascript', 'node.js', 'html', 'cloud', 'bootstrap-4']"
Full-time,None,"Full Stack Developer, Mobile Developer",None,None,None,None,None,"Ahmedabad,India","['android', 'java', 'mobile']"
